GlobalID,Score,x,y,r,x_min,y_min,x_max,y_max,x_shape,y_shape,frameID,time,condition,outlier,cell_count_v3_Target,cell_count_v3_Effector,cell_count_v3_dead_Target,cell_count_v3_dead_Effector
1793,0.999999999999994,8332,3082,65,8267,3017,8397,3147,130,130,0,1,HFE7500_THP1_300_170,False,1,0,0,0
1794,0.999999999999994,10701,3082,65,10636,3017,10766,3147,130,130,0,1,HFE7500_THP1_300_170,False,1,0,0,0
1795,0.999999999999994,6714,3083,65,6649,3018,6779,3148,130,130,0,1,HFE7500_THP1_300_170,False,1,0,0,0
1796,0.999999999999994,6862,3086,65,6797,3021,6927,3151,130,130,0,1,HFE7500_THP1_300_170,False,1,0,0,0
1797,0.999999999999994,1265,3089,65,1200,3024,1330,3154,130,130,0,1,HFE7500_THP1_300_170,False,1,0,1,0
1798,0.999999999999994,826,3090,65,761,3025,891,3155,130,130,0,1,HFE7500_THP1_300_170,False,1,1,1,0
1799,0.999999999999994,1717,3091,66,1651,3025,1783,3157,132,132,0,1,HFE7500_THP1_300_170,False,1,0,1,0
1800,0.999999999999994,967,3092,65,902,3027,1032,3157,130,130,0,1,HFE7500_THP1_300_170,False,1,0,1,0
1801,0.994680851063824,8470,3093,65,8405,3028,8535,3158,130,130,0,1,HFE7500_THP1_300_170,False,2,0,0,0
1802,0.999999999999994,1116,3094,65,1051,3029,1181,3159,130,130,0,1,HFE7500_THP1_300_170,False,0,0,0,0
1803,0.999999999999994,1560,3096,65,1495,3031,1625,3161,130,130,0,1,HFE7500_THP1_300_170,False,1,0,0,0
1804,0.999999999999994,1866,3098,65,1801,3033,1931,3163,130,130,0,1,HFE7500_THP1_300_170,False,2,0,1,0
1805,0.999999999999994,1419,3099,65,1354,3034,1484,3164,130,130,0,1,HFE7500_THP1_300_170,False,0,0,0,0
1806,0.999999999999994,8612,3107,65,8547,3042,8677,3172,130,130,0,1,HFE7500_THP1_300_170,False,1,1,1,0
1807,0.999999999999994,8752,3119,65,8687,3054,8817,3184,130,130,0,1,HFE7500_THP1_300_170,False,0,0,1,0
1808,0.999999999999994,8898,3133,65,8833,3068,8963,3198,130,130,0,1,HFE7500_THP1_300_170,False,0,0,1,0
1809,0.999999999999994,7057,3134,65,6992,3069,7122,3199,130,130,0,1,HFE7500_THP1_300_170,False,1,0,0,0
1810,0.999999999999994,9038,3142,65,8973,3077,9103,3207,130,130,0,1,HFE7500_THP1_300_170,False,2,0,0,0
1811,0.999999999999994,9182,3146,65,9117,3081,9247,3211,130,130,0,1,HFE7500_THP1_300_170,False,0,0,0,0
1812,0.999999999999994,7207,3152,65,7142,3087,7272,3217,130,130,0,1,HFE7500_THP1_300_170,False,0,0,0,0
1813,0.9707446808510584,7358,3154,65,7293,3089,7423,3219,130,130,0,1,HFE7500_THP1_300_170,False,1,0,0,0
1814,0.999999999999994,135,3155,65,70,3090,200,3220,130,130,0,1,HFE7500_THP1_300_170,False,1,0,1,0
1815,0.999999999999994,9322,3156,65,9257,3091,9387,3221,130,130,0,1,HFE7500_THP1_300_170,False,1,0,1,0
1816,0.999999999999994,3410,3157,65,3345,3092,3475,3222,130,130,0,1,HFE7500_THP1_300_170,False,1,0,1,0
1817,0.999999999999994,9609,3159,65,9544,3094,9674,3224,130,130,0,1,HFE7500_THP1_300_170,False,2,0,0,0
1818,0.999999999999994,7500,3161,65,7435,3096,7565,3226,130,130,0,1,HFE7500_THP1_300_170,False,1,0,0,0
1819,0.999999999999994,9468,3162,65,9403,3097,9533,3227,130,130,0,1,HFE7500_THP1_300_170,False,3,0,0,0
1820,0.999999999999994,9916,3163,65,9851,3098,9981,3228,130,130,0,1,HFE7500_THP1_300_170,False,1,0,0,0
1821,0.999999999999994,10056,3168,65,9991,3103,10121,3233,130,130,0,1,HFE7500_THP1_300_170,False,2,0,0,0
1822,0.999999999999994,5227,3169,65,5162,3104,5292,3234,130,130,0,1,HFE7500_THP1_300_170,False,1,0,1,0
1823,0.999999999999994,3115,3171,65,3050,3106,3180,3236,130,130,0,1,HFE7500_THP1_300_170,False,0,0,1,0
1824,0.999999999999994,9749,3171,65,9684,3106,9814,3236,130,130,0,1,HFE7500_THP1_300_170,False,1,0,0,0
1825,0.999999999999994,4366,3172,65,4301,3107,4431,3237,130,130,0,1,HFE7500_THP1_300_170,False,0,0,1,0
1826,0.999999999999994,3263,3174,65,3198,3109,3328,3239,130,130,0,1,HFE7500_THP1_300_170,False,0,0,0,0
1827,0.999999999999994,4656,3174,65,4591,3109,4721,3239,130,130,0,1,HFE7500_THP1_300_170,False,2,1,3,0
1828,0.999999999999994,5083,3174,65,5018,3109,5148,3239,130,130,0,1,HFE7500_THP1_300_170,False,1,0,1,0
1829,0.999999999999994,5385,3174,65,5320,3109,5450,3239,130,130,0,1,HFE7500_THP1_300_170,False,1,0,0,0
1830,0.999999999999994,5537,3174,65,5472,3109,5602,3239,130,130,0,1,HFE7500_THP1_300_170,False,0,0,1,0
1831,0.9920212765957388,5900,3174,65,5835,3109,5965,3239,130,130,0,1,HFE7500_THP1_300_170,False,4,0,0,0
1832,0.999999999999994,10344,3176,65,10279,3111,10409,3241,130,130,0,1,HFE7500_THP1_300_170,False,2,0,0,0
1833,0.999999999999994,10200,3177,65,10135,3112,10265,3242,130,130,0,1,HFE7500_THP1_300_170,False,0,0,0,0
1834,0.999999999999994,4797,3179,65,4732,3114,4862,3244,130,130,0,1,HFE7500_THP1_300_170,False,0,0,1,0
1835,0.999999999999994,4939,3180,65,4874,3115,5004,3245,130,130,0,1,HFE7500_THP1_300_170,False,1,0,1,0
1836,0.999999999999994,7650,3180,65,7585,3115,7715,3245,130,130,0,1,HFE7500_THP1_300_170,False,1,0,0,0
1837,0.999999999999994,273,3181,65,208,3116,338,3246,130,130,0,1,HFE7500_THP1_300_170,False,1,0,0,0
1838,0.999999999999994,2680,3181,65,2615,3116,2745,3246,130,130,0,1,HFE7500_THP1_300_170,False,1,0,0,0
1839,0.999999999999994,7808,3184,65,7743,3119,7873,3249,130,130,0,1,HFE7500_THP1_300_170,False,2,0,0,0
1840,0.999999999999994,10480,3184,65,10415,3119,10545,3249,130,130,0,1,HFE7500_THP1_300_170,False,1,0,1,0
1841,0.999999999999994,6185,3186,65,6120,3121,6250,3251,130,130,0,1,HFE7500_THP1_300_170,False,1,0,0,0
1842,0.999999999999994,10934,3186,65,10869,3121,10999,3251,130,130,0,1,HFE7500_THP1_300_170,False,0,0,1,0
