GlobalID,Score,x,y,r,x_min,y_min,x_max,y_max,x_shape,y_shape,frameID,time,condition,outlier
218,0.999999999999994,3130,628,65,3065,563,3195,693,130,130,0,1,HFE7500_K562_300_150_region15,False
219,0.999999999999994,7065,628,65,7000,563,7130,693,130,130,0,1,HFE7500_K562_300_150_region15,False
220,0.999999999999994,2863,630,65,2798,565,2928,695,130,130,0,1,HFE7500_K562_300_150_region15,False
221,0.999999999999994,2996,630,65,2931,565,3061,695,130,130,0,1,HFE7500_K562_300_150_region15,False
222,0.999999999999994,5816,630,65,5751,565,5881,695,130,130,0,1,HFE7500_K562_300_150_region15,False
223,0.999999999999994,7197,631,65,7132,566,7262,696,130,130,0,1,HFE7500_K562_300_150_region15,False
224,0.999999999999994,7329,635,65,7264,570,7394,700,130,130,0,1,HFE7500_K562_300_150_region15,False
225,0.999999999999994,3394,637,65,3329,572,3459,702,130,130,0,1,HFE7500_K562_300_150_region15,False
226,0.999999999999994,7462,637,65,7397,572,7527,702,130,130,0,1,HFE7500_K562_300_150_region15,False
227,0.999999999999994,3262,639,65,3197,574,3327,704,130,130,0,1,HFE7500_K562_300_150_region15,False
228,0.999999999999994,3523,644,65,3458,579,3588,709,130,130,0,1,HFE7500_K562_300_150_region15,False
229,0.999999999999994,1064,647,65,999,582,1129,712,130,130,0,1,HFE7500_K562_300_150_region15,False
230,0.999999999999994,1198,651,65,1133,586,1263,716,130,130,0,1,HFE7500_K562_300_150_region15,False
231,0.999999999999994,1334,651,65,1269,586,1399,716,130,130,0,1,HFE7500_K562_300_150_region15,False
232,0.999999999999994,935,655,65,870,590,1000,720,130,130,0,1,HFE7500_K562_300_150_region15,False
233,0.999999999999994,1471,672,65,1406,607,1536,737,130,130,0,1,HFE7500_K562_300_150_region15,False
234,0.999999999999994,1605,676,65,1540,611,1670,741,130,130,0,1,HFE7500_K562_300_150_region15,False
235,0.999999999999994,1738,681,65,1673,616,1803,746,130,130,0,1,HFE7500_K562_300_150_region15,False
236,0.999999999999994,1874,682,65,1809,617,1939,747,130,130,0,1,HFE7500_K562_300_150_region15,False
237,0.999999999999994,5195,702,65,5130,637,5260,767,130,130,0,1,HFE7500_K562_300_150_region15,False
238,0.999999999999994,5926,703,65,5861,638,5991,768,130,130,0,1,HFE7500_K562_300_150_region15,False
239,0.999999999999994,5328,707,65,5263,642,5393,772,130,130,0,1,HFE7500_K562_300_150_region15,False
240,0.999999999999994,4670,710,65,4605,645,4735,775,130,130,0,1,HFE7500_K562_300_150_region15,False
241,0.999999999999994,4935,710,65,4870,645,5000,775,130,130,0,1,HFE7500_K562_300_150_region15,False
242,0.999999999999994,4802,711,65,4737,646,4867,776,130,130,0,1,HFE7500_K562_300_150_region15,False
243,0.999999999999994,5591,714,65,5526,649,5656,779,130,130,0,1,HFE7500_K562_300_150_region15,False
244,0.999999999999994,5718,714,65,5653,649,5783,779,130,130,0,1,HFE7500_K562_300_150_region15,False
245,0.999999999999994,4392,715,65,4327,650,4457,780,130,130,0,1,HFE7500_K562_300_150_region15,False
246,0.999999999999994,3711,717,65,3646,652,3776,782,130,130,0,1,HFE7500_K562_300_150_region15,False
247,0.999999999999994,3853,717,65,3788,652,3918,782,130,130,0,1,HFE7500_K562_300_150_region15,False
248,0.7952127659574438,4545,720,65,4480,655,4610,785,130,130,0,1,HFE7500_K562_300_150_region15,False
249,0.999999999999994,2004,721,65,1939,656,2069,786,130,130,0,1,HFE7500_K562_300_150_region15,False
250,0.999999999999994,4262,721,65,4197,656,4327,786,130,130,0,1,HFE7500_K562_300_150_region15,False
251,0.999999999999994,3986,722,65,3921,657,4051,787,130,130,0,1,HFE7500_K562_300_150_region15,False
252,0.999999999999994,2139,723,65,2074,658,2204,788,130,130,0,1,HFE7500_K562_300_150_region15,False
253,0.999999999999994,4122,723,65,4057,658,4187,788,130,130,0,1,HFE7500_K562_300_150_region15,False
254,0.999999999999994,5066,724,65,5001,659,5131,789,130,130,0,1,HFE7500_K562_300_150_region15,False
255,0.999999999999994,2272,725,65,2207,660,2337,790,130,130,0,1,HFE7500_K562_300_150_region15,False
256,0.999999999999994,5459,725,65,5394,660,5524,790,130,130,0,1,HFE7500_K562_300_150_region15,False
257,0.999999999999994,6056,727,65,5991,662,6121,792,130,130,0,1,HFE7500_K562_300_150_region15,False
